[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.048061s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.040281s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.109273s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.045973s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.046086s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.099680s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.099799s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001954s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.002066s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001824s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001919s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.007943s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.042762s ]
[ 2012-04-22T09:09:53+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.042869s ]
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.043176s ]
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.043323s ]
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000729s ]
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000485s ]
[ 2012-04-22T09:09:54+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001320s ]
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000842s ]
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000948s ]
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000582s ]
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000475s ]
[ 2012-04-22T09:10:02+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001156s ]
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.117727s ]
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.060678s ]
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1335057005 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.002643s ]
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.015657s ]
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.015749s ]
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 82 行.
[ 2012-04-22T09:10:05+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.020474s ]
