[ 2012-04-21T19:40:48+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-21T19:40:48+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.002792s ]
[ 2012-04-21T19:40:48+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.020479s ]
[ 2012-04-21T19:40:48+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.024160s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.006041s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.006201s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.009609s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.009788s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.003559s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.003789s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.003129s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.003130s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.013974s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.016366s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.016520s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.017041s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.017246s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000664s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000485s ]
[ 2012-04-21T19:40:49+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001254s ]
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Tag[ route_check ] --START--
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Run CheckRoute Behavior [ RunTime:0.001939s ]
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002083s ]
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001673s ]
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001454s ]
[ 2012-04-21T19:42:22+08:00 ] /admin.php/Index/verify/1335008542401 | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003252s ]
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000860s ]
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000975s ]
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000583s ]
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000524s ]
[ 2012-04-21T19:42:31+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001213s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.086632s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.024641s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1335008552 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.005172s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.004846s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.004975s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 82 行.
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.039456s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.039586s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.002970s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.003587s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.002699s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.003216s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.012848s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.007073s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.007251s ]
[ 2012-04-21T19:42:32+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.001713s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001838s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001458s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001329s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002889s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.061798s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.002325s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.004013s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.004117s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.010882s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.010999s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.002094s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.002597s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001941s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ShowRuntime Behavior [ RunTime:0.002120s ]
[ 2012-04-21T19:57:19+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.009115s ]
