[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.003414s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.002880s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.006671s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.003170s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003285s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.057019s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.057141s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001762s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001981s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001414s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001670s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.007049s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.004015s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.004104s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001777s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001905s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000612s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000493s ]
[ 2012-05-07T09:33:16+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001214s ]
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001321s ]
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001480s ]
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001134s ]
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000723s ]
[ 2012-05-07T09:33:26+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002008s ]
[ 2012-05-07T09:33:27+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.072360s ]
