[ 2012-05-06T19:59:22+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-06T19:59:22+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.018603s ]
[ 2012-05-06T19:59:22+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.004021s ]
[ 2012-05-06T19:59:22+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.050395s ]
[ 2012-05-06T19:59:22+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.032940s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.033152s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.065963s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.066174s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.021737s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.005778s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.003764s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.003797s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.035515s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.018618s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.018810s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.022403s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.022574s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001094s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000675s ]
[ 2012-05-06T19:59:23+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001907s ]
[ 2012-05-06T19:59:33+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-05-06T19:59:33+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000963s ]
[ 2012-05-06T19:59:33+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001098s ]
[ 2012-05-06T19:59:33+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
