[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.002042s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001468s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003735s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.046667s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.046808s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.070448s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.070585s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.008306s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.018763s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.002221s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.002253s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.031814s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.031034s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.031164s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.009368s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.009594s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000878s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000509s ]
[ 2012-05-24T15:37:13+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001663s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.002405s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001887s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.004539s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.003506s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003664s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.003320s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.003455s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001944s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001917s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001763s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001947s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.007866s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.004216s ]
[ 2012-05-24T15:41:59+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.004359s ]
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001807s ]
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001950s ]
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000686s ]
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000606s ]
[ 2012-05-24T15:42:00+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001408s ]
