[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001680s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001306s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003216s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.002666s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.002815s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.013604s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.013684s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001302s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001471s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001341s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001459s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.005758s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003639s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003712s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001843s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001969s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000628s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000509s ]
[ 2012-04-24T22:02:30+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001245s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001720s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001930s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001238s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000993s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002432s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.010454s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.010683s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.109244s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.109390s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.000589s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.000633s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000421s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000673s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002550s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002153s ]
[ 2012-04-24T22:02:34+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002242s ]
[ 2012-04-24T22:02:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-24T22:02:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000869s ]
[ 2012-04-24T22:02:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000994s ]
[ 2012-04-24T22:02:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
