[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.018686s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000756s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.019647s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.011194s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.011324s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.024971s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.025134s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.012285s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.003811s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.009734s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000784s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.026794s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.023163s ]
[ 2012-09-15T11:22:45+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.023258s ]
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.045375s ]
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.045488s ]
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000293s ]
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000187s ]
[ 2012-09-15T11:22:46+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000544s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000844s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001040s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000384s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000237s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000720s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.001012s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'root' ) AND ( `password` = '63a9f0ea7bb98050796b649e85481845' ) LIMIT 1   [ RunTime:0.085597s ]
[ 2012-09-15T11:22:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
