[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000687s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000506s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001457s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000333s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000449s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.000824s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.000901s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.000354s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.000463s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000206s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000476s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001751s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.001984s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002087s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.000969s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001106s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000276s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000190s ]
[ 2012-08-11T15:45:25+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000558s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000362s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000209s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000722s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000162s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000206s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.000428s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.000471s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.000218s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.000276s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000111s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000262s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.000988s ]
[ 2012-08-11T15:45:59+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
