[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001323s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001101s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002696s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.002974s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003104s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.042907s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.043070s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.000906s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001036s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000601s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000994s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.003855s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003718s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003843s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-06-04T14:00:32+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001084s ]
[ 2012-06-04T14:00:32+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001231s ]
