[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.019185s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.009449s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.028857s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.003520s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003620s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.024886s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.024969s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.000779s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.004351s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.009706s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000910s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.015973s ]
[ 2012-08-13T21:05:11+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-08-13T21:05:12+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.011938s ]
[ 2012-08-13T21:05:12+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.012017s ]
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.085170s ]
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.085345s ]
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000624s ]
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000416s ]
[ 2012-08-13T21:05:12+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001190s ]
