[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.035000s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.012092s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.105035s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.016198s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.016400s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.167388s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.167554s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.015160s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.011064s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.004621s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.003795s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.035016s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.023759s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.023939s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.026532s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.026715s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000789s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000518s ]
[ 2012-04-20T23:05:44+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001421s ]
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001304s ]
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001428s ]
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000580s ]
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000472s ]
[ 2012-04-20T23:05:54+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001153s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.174534s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.029872s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1334934356 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.001634s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.003463s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003609s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 82 行.
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.017200s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.017348s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.001034s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.001023s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000618s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000962s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.003967s ]
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-04-20T23:05:56+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003461s ]
