[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001666s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001311s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003178s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.005657s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.005836s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.022192s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.022365s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001857s ]
[ 2012-04-18T21:17:18+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001954s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001647s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001824s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.007513s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-04-18T21:17:19+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003575s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003678s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001757s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001905s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000711s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000487s ]
[ 2012-04-18T21:17:19+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001306s ]
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Tag[ route_check ] --START--
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Run CheckRoute Behavior [ RunTime:0.001707s ]
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001832s ]
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001560s ]
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001452s ]
[ 2012-04-18T21:20:08+08:00 ] /admin.php/Index/verify/1334755208166 | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003140s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001026s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001174s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000692s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000534s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001350s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.004549s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.000884s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1334755213 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.000514s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.002985s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003066s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 81 行.
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.021333s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.021424s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.001539s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.001473s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001176s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001392s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.005765s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003344s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003427s ]
[ 2012-04-18T21:20:13+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ route_check ] --START--
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run CheckRoute Behavior [ RunTime:0.001132s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001277s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000745s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000594s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001459s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_template ] --START--
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001621s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001698s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run ParseTemplate Behavior [ RunTime:0.083929s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.084079s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run ContentReplace Behavior [ RunTime:0.001253s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run TokenBuild Behavior [ RunTime:0.001621s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000846s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001269s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.005372s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_end ] --START--
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.005274s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/Introduction/introAdd | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.005497s ]
[ 2012-04-18T21:20:19+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.002390s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002737s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001420s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000710s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.002365s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | SQL: SHOW COLUMNS FROM `qilihai_introduction` [ RunTime:0.004210s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | SQL: SELECT * FROM `qilihai_introduction`  [ RunTime:0.001238s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --START--
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001876s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.001951s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ParseTemplate Behavior [ RunTime:0.028981s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.029083s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ContentReplace Behavior [ RunTime:0.000518s ]
[ 2012-04-18T21:20:21+08:00 ] /admin.php/Introduction/introList | DEBUG: Run TokenBuild Behavior [ RunTime:0.000529s ]
