[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.004156s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.003431s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.007906s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.004899s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.005066s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.067703s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.067845s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001772s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001949s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001531s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001691s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.007147s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.004435s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.004518s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001947s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002084s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000730s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000526s ]
[ 2012-04-23T21:15:14+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001382s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001342s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001501s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000721s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000526s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001365s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.103522s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.055065s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1335186924 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.025568s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.003457s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.003599s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 87 行.
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.043487s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.043637s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.000983s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.000911s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000600s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000998s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.003839s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003505s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003655s ]
[ 2012-04-23T21:15:24+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
