[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001967s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001525s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003688s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.012240s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.012377s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.036882s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.037010s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.001527s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.001505s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001123s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001414s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.005739s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.003568s ]
[ 2012-06-05T03:31:57+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.003692s ]
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.001728s ]
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001838s ]
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000659s ]
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000584s ]
[ 2012-06-05T03:31:58+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001343s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001126s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001272s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000616s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000528s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001246s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.084247s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.000677s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1338838327 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.021286s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.013731s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.013970s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 88 行.
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.021800s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.021923s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.000602s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.000618s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000327s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000841s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.002599s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002614s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002759s ]
[ 2012-06-05T03:32:07+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --START--
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckRoute Behavior [ RunTime:0.003992s ]
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.004226s ]
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.002939s ]
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Run CheckTemplate Behavior [ RunTime:0.002371s ]
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.005498s ]
[ 2012-06-05T04:27:25+08:00 ] /admin.php/Introduction/introList | NOTIC: [8] Undefined index:  authId IntroductionAction.class.php 第 13 行.
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000861s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000980s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000578s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000471s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001147s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.010378s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.010557s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.029259s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.029408s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.001558s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.007616s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.001539s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.001593s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.012539s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.042030s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.042158s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.000936s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001056s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000980s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000604s ]
[ 2012-06-05T04:27:26+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001700s ]
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.001923s ]
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002084s ]
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001958s ]
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001686s ]
[ 2012-06-05T04:27:42+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003805s ]
[ 2012-06-05T04:27:43+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.158876s ]
[ 2012-06-05T04:27:43+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.008351s ]
[ 2012-06-05T04:27:43+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1338841663 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.000763s ]
[ 2012-06-05T04:27:43+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-06-05T04:27:43+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.009087s ]
